Timestamp,Age Group,"  Gender
  ",  Current Education Level  ,  How much academic pressure do you feel?  , How often do you feel stressed due to studies?,  How many hours do you sleep on average per night?  ,  What is the main cause of your academic stress?  
12/13/2025 6:18:33,15–18,Female,College,4,Sometimes,7–8,1 .Exam and grades pressure  
12/13/2025 6:24:50,15–18,Male,College,4,Often,5–6,Exams and Grades Pressure
12/13/2025 6:29:50,15–18,Female,University,3,Sometimes,7–8,financial conditions 
12/13/2025 7:36:26,27+,Male,Other,1,Always,7–8,Other 
12/13/2025 8:01:20,15–18,Female,College,2,Sometimes,5–6,Prefer not to say
12/14/2025 1:36:11,Under 15,Male,College,4,Sometimes,7–8,Exams and Grades Pressure
12/14/2025 1:38:11,15–18,Female,College,4,Often,5–6,Financial Conditions
12/14/2025 1:40:59,19–22,Male,University,3,Sometimes,7–8,Exams Pressure
12/14/2025 1:42:56,19–22,Male,University,5,Often,More than 8,Testing Tension
12/14/2025 1:45:07,23–26,Male,Other,3,Always,More than 8,Exams Stress
12/14/2025 1:47:22,19–22,Female,College,2,Often,7–8,Exams Stess
12/14/2025 1:48:08,15–18,Female,University,3,Sometimes,7–8,Exams Stress
12/14/2025 1:55:14,19–22,Female,University,3,Sometimes,7–8,Exams stress 
12/14/2025 1:56:21,19–22,Female,College,4,Sometimes,7–8,stess factors
12/14/2025 1:57:46,27+,Male,Other,4,Always,More than 8,Other
12/14/2025 1:59:22,Under 15,Male,College,5,Always,5–6,financial conditions
12/14/2025 2:01:55,15–18,Male,College,4,Always,More than 8,exams pressure
12/14/2025 2:05:17,15–18,Female,College,5,Sometimes,7–8,lack of time managment
12/14/2025 2:06:52,19–22,Female,College,5,Often,7–8,High expectations from parents or teachers
12/14/2025 2:07:48,19–22,Female,University,4,Sometimes,7–8,Competitive environment
12/14/2025 2:12:23,15–18,Male,College,4,Always,7–8,Difficulty understanding subjects
12/14/2025 2:14:00,15–18,Male,College,4,Sometimes,7–8,Financial concerns related to education
12/14/2025 2:15:04,15–18,Male,College,5,Always,7–8,Financial concerns related to education
12/14/2025 2:16:24,15–18,Male,College,5,Sometimes,7–8,Difficulty understanding subjects
12/14/2025 5:19:13,15–18,Male,College,4,Sometimes,5–6,Education and Financial conditions
12/14/2025 5:20:07,19–22,Female,College,4,Sometimes,7–8,Stress Factor 
12/14/2025 5:21:30,15–18,Male,College,3,Sometimes,7–8,Education stress and Exam
12/14/2025 5:23:22,15–18,Male,College,4,Sometimes,7–8,Stress Exam 
12/14/2025 5:25:04,15–18,Male,College,4,Sometimes,7–8,Financial conditions 
12/14/2025 5:26:07,15–18,Male,College,4,Sometimes,7–8,Financial conditions 
12/14/2025 5:27:28,15–18,Male,College,5,Sometimes,7–8,Paper conditions 
12/14/2025 5:28:53,15–18,Male,College,5,Sometimes,7–8,Stress of exams 
12/14/2025 5:30:17,15–18,Male,College,5,Sometimes,7–8,Learning outcomes depression 
